"index","Title","Authors","Affiliations","keywords","cite_key","abstract","pdf_url"
"25070","Back to the Future: Toward a Hybrid Architecture for Ad Hoc Teamwork","['Hasra Dodampegama', 'Mohan Sridharan']","['University of Birmingham, UK', 'University of Birmingham, UK']","['CMS: Agent & Cognitive Architectures', 'KRR: Applications', 'KRR: Nonmonotonic Reasoning', 'MAS: Agent/AI Theories and Architectures']","Dodampegama, H., & Sridharan, M. (2023). Back to the Future: Toward a Hybrid Architecture for Ad Hoc Teamwork. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 3-10. https://doi.org/10.1609/aaai.v37i1.25070","Abstract 					State of the art methods for ad hoc teamwork, i.e., for collaboration without prior coordination, often use a long history of prior observations to model the behavior of other agents (or agent types) and to determine the ad hoc agent's behavior. In many practical domains, it is difficult to obtain large training datasets, and necessary to quickly revise the existing models to account for changes in team composition or domain attributes. Our architecture builds on the principles of step-wise refinement and ecological rationality to enable an ad hoc agent to perform non-monotonic logical reasoning with prior commonsense domain knowledge and models learned rapidly from limited examples to predict the behavior of other agents. In the simulated multiagent collaboration domain Fort Attack, we experimentally demonstrate that our architecture enables an ad hoc agent to adapt to changes in the behavior of other agents, and provides enhanced transparency and better performance than a state of the art data-driven baseline.","https://ojs.aaai.org/index.php/AAAI/article/view/25070/24842"
"25071","Reducing ANN-SNN Conversion Error through Residual Membrane Potential","['Zecheng Hao', 'Tong Bu', 'Jianhao Ding', 'Tiejun Huang', 'Zhaofei Yu']","['Peking University', 'Peking University', 'Peking University', 'Peking University', 'Peking University']","['CMS: Brain Modeling']","Hao, Z., Bu, T., Ding, J., Huang, T., & Yu, Z. (2023). Reducing ANN-SNN Conversion Error through Residual Membrane Potential. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 11-21. https://doi.org/10.1609/aaai.v37i1.25071","Abstract 					Spiking Neural Networks (SNNs) have received extensive academic attention due to the unique properties of low power consumption and high-speed computing on neuromorphic chips. Among various training methods of SNNs, ANN-SNN conversion has shown the equivalent level of performance as ANNs on large-scale datasets. However, unevenness error, which refers to the deviation caused by different temporal sequences of spike arrival on activation layers, has not been effectively resolved and seriously suffers the performance of SNNs under the condition of short time-steps. In this paper, we make a detailed analysis of unevenness error and divide it into four categories. We point out that the case of the ANN output being zero while the SNN output being larger than zero accounts for the largest percentage. Based on this, we theoretically prove the sufficient and necessary conditions of this case and propose an optimization strategy based on residual membrane potential to reduce unevenness error. The experimental results show that the proposed method achieves state-of-the-art performance on CIFAR-10, CIFAR-100, and ImageNet datasets. For example, we reach top-1 accuracy of 64.32% on ImageNet with 10-steps. To the best of our knowledge, this is the first time ANN-SNN conversion can simultaneously achieve high accuracy and ultra-low-latency on the complex dataset. Code is available at https://github.com/hzc1208/ANN2SNN_SRP.","https://ojs.aaai.org/index.php/AAAI/article/view/25071/24843"
"25072","Hierarchical ConViT with Attention-Based Relational Reasoner for Visual Analogical Reasoning","['Wentao He', 'Jialu Zhang', 'Jianfeng Ren', 'Ruibin Bai', 'Xudong Jiang']","['The Digital Port Technologies Lab, School of Computer Science, University of Nottingham Ningbo China', 'The Digital Port Technologies Lab, School of Computer Science, University of Nottingham Ningbo China', 'The Digital Port Technologies Lab, School of Computer Science, University of Nottingham Ningbo China\nNottingham Ningbo China Beacons of Excellence Research and Innovation Institute, University of Nottingham Ningbo China', 'The Digital Port Technologies Lab, School of Computer Science, University of Nottingham Ningbo China\nNottingham Ningbo China Beacons of Excellence Research and Innovation Institute, University of Nottingham Ningbo China', 'School of Electrical & Electronic Engineering, Nanyang Technological University']","['CMS: Analogical and Conceptual Reasoning', 'CMS: Applications', 'CV: Representation Learning for Vision', 'CV: Scene Analysis & Understanding', 'CV: Visual Reasoning & Symbolic Representations', 'ML: Relational Learning']","He, W., Zhang, J., Ren, J., Bai, R., & Jiang, X. (2023). Hierarchical ConViT with Attention-Based Relational Reasoner for Visual Analogical Reasoning. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 22-30. https://doi.org/10.1609/aaai.v37i1.25072","Abstract 					Raven’s Progressive Matrices (RPMs) have been widely used to evaluate the visual reasoning ability of humans. To tackle the challenges of visual perception and logic reasoning on RPMs, we propose a Hierarchical ConViT with Attention-based Relational Reasoner (HCV-ARR). Traditional solution methods often apply relatively shallow convolution networks to visually perceive shape patterns in RPM images, which may not fully model the long-range dependencies of complex pattern combinations in RPMs. The proposed ConViT consists of a convolutional block to capture the low-level attributes of visual patterns, and a transformer block to capture the high-level image semantics such as pattern formations. Furthermore, the proposed hierarchical ConViT captures visual features from multiple receptive fields, where the shallow layers focus on the image fine details while the deeper layers focus on the image semantics. To better model the underlying reasoning rules embedded in RPM images, an Attention-based Relational Reasoner (ARR) is proposed to establish the underlying relations among images. The proposed ARR well exploits the hidden relations among question images through the developed element-wise attentive reasoner. Experimental results on three RPM datasets demonstrate that the proposed HCV-ARR achieves a significant performance gain compared with the state-of-the-art models. The source code is available at: https://github.com/wentaoheunnc/HCV-ARR.","https://ojs.aaai.org/index.php/AAAI/article/view/25072/24844"
"25073","Deep Spiking Neural Networks with High Representation Similarity Model Visual Pathways of Macaque and Mouse","['Liwei Huang', 'Zhengyu Ma', 'Liutao Yu', 'Huihui Zhou', 'Yonghong Tian']","['Peking University\nPeng Cheng Laboratory', 'Peng Cheng Laboratory', 'Peng Cheng Laboratory', 'Peng Cheng Laboratory', 'Peking University\nPeng Cheng Laboratory']","['CMS: Brain Modeling']","Huang, L., Ma, Z., Yu, L., Zhou, H., & Tian, Y. (2023). Deep Spiking Neural Networks with High Representation Similarity Model Visual Pathways of Macaque and Mouse. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 31-39. https://doi.org/10.1609/aaai.v37i1.25073","Abstract 					Deep artificial neural networks (ANNs) play a major role in modeling the visual pathways of primate and rodent. However, they highly simplify the computational properties of neurons compared to their biological counterparts. Instead, Spiking Neural Networks (SNNs) are more biologically plausible models since spiking neurons encode information with time sequences of spikes, just like biological neurons do. However, there is a lack of studies on visual pathways with deep SNNs models. In this study, we model the visual cortex with deep SNNs for the first time, and also with a wide range of state-of-the-art deep CNNs and ViTs for comparison. Using three similarity metrics, we conduct neural representation similarity experiments on three neural datasets collected from two species under three types of stimuli. Based on extensive similarity analyses, we further investigate the functional hierarchy and mechanisms across species. Almost all similarity scores of SNNs are higher than their counterparts of CNNs with an average of 6.6%. Depths of the layers with the highest similarity scores exhibit little differences across mouse cortical regions, but vary significantly across macaque regions, suggesting that the visual processing structure of mice is more regionally homogeneous than that of macaques. Besides, the multi-branch structures observed in some top mouse brain-like neural networks provide computational evidence of parallel processing streams in mice, and the different performance in fitting macaque neural representations under different stimuli exhibits the functional specialization of information processing in macaques. Taken together, our study demonstrates that SNNs could serve as promising candidates to better model and explain the functional hierarchy and mechanisms of the visual system.","https://ojs.aaai.org/index.php/AAAI/article/view/25073/24845"
"25074","A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks","['Stephen Keeley', 'Benjamin Letham', 'Craig Sanders', 'Chase Tymms', 'Michael Shvartsman']","['Department of Natural Sciences, Fordham University, USA\nMeta', 'Meta', 'Meta', 'Meta', 'Meta']","['CMS: Bayesian Learning', 'CMS: Brain Modeling', 'CMS: Other Foundations of Cognitive Modeling & Systems', 'HAI: Human Computation', 'ML: Bayesian Learning', 'ML: Probabilistic Methods']","Keeley, S., Letham, B., Sanders, C., Tymms, C., & Shvartsman, M. (2023). A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 40-47. https://doi.org/10.1609/aaai.v37i1.25074","Abstract 					Psychometric functions typically characterize binary sensory decisions along a single stimulus dimension. However, real-life sensory tasks vary along a greater variety of dimensions (e.g. color, contrast and luminance for visual stimuli). Approaches to characterizing high-dimensional sensory spaces either require strong parametric assumptions about these additional contextual dimensions, or fail to leverage known properties of classical psychometric curves. We overcome both limitations by introducing a semi-parametric model of sensory discrimination that applies traditional psychophysical models along a stimulus intensity dimension, but puts Gaussian process (GP) priors on the parameters of these models with respect to the remaining dimensions. By combining the flexibility of the GP with the deep literature on parametric psychophysics, our semi-parametric models achieve good performance with much less data than baselines on both synthetic and real-world, high-dimensional psychophysics datasets. We additionally show strong performance in a Bayesian active learning setting, and present a novel active learning paradigm for the semi-parametric model.","https://ojs.aaai.org/index.php/AAAI/article/view/25074/24846"
"25075","A Machine with Short-Term, Episodic, and Semantic Memory Systems","['Taewoon Kim', 'Michael Cochez', 'Vincent Francois-Lavet', 'Mark Neerincx', 'Piek Vossen']","['Vrije Universiteit Amsterdam', 'Vrije Universiteit Amsterdam', 'Vrije Universiteit Amsterdam', 'Technische Universiteit Delft', 'Vrije Universiteit Amsterdam']","['CMS: Memory Storage and Retrieval', 'ML: Lifelong and Continual Learning', 'ML: Bio-Inspired Learning', 'KRR: Common-Sense Reasoning', 'ML: Applications', 'KRR: Applications', 'CMS: Agent & Cognitive Architectures', 'CMS: Brain Modeling', 'CMS: Adaptive Behavior', 'ML: Reinforcement Learning Algorithms']","Kim, T., Cochez, M., Francois-Lavet, V., Neerincx, M., & Vossen, P. (2023). A Machine with Short-Term, Episodic, and Semantic Memory Systems. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 48-56. https://doi.org/10.1609/aaai.v37i1.25075","Abstract 					Inspired by the cognitive science theory of the explicit human memory systems, we have modeled an agent with short-term, episodic, and semantic memory systems, each of which is modeled with a knowledge graph. To evaluate this system and analyze the behavior of this agent, we designed and released our own reinforcement learning agent environment, “the Room”, where an agent has to learn how to encode, store, and retrieve memories to maximize its return by answering questions. We show that our deep Q-learning based agent successfully learns whether a short-term memory should be forgotten, or rather be stored in the episodic or semantic memory systems. Our experiments indicate that an agent with human-like memory systems can outperform an agent without this memory structure in the environment.","https://ojs.aaai.org/index.php/AAAI/article/view/25075/24847"
"25076","Persuasion Strategies in Advertisements","['Yaman Kumar', 'Rajat Jha', 'Arunim Gupta', 'Milan Aggarwal', 'Aditya Garg', 'Tushar Malyan', 'Ayush Bhardwaj', 'Rajiv Ratn Shah', 'Balaji Krishnamurthy', 'Changyou Chen']","['Adobe Media and Data Science Research (MDSR)\nIIIT-Delhi\nUniversity at Buffalo', 'IIIT-Delhi', 'IIIT-Delhi', 'Adobe Media and Data Science Research', 'IIIT-Delhi', 'IIIT-Delhi', 'IIIT-Delhi', 'IIIT-Delhi', 'Adobe Media and Data Science Research', 'University at Buffalo']","['CMS: Affective Computing', 'CMS: Applications', 'CMS: Social Cognition and Interaction', 'APP: Business/Marketing/Advertising/E-Commerce', 'APP: Communication']","Kumar, Y., Jha, R., Gupta, A., Aggarwal, M., Garg, A., Malyan, T., Bhardwaj, A., Ratn Shah, R., Krishnamurthy, B., & Chen, C. (2023). Persuasion Strategies in Advertisements. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 57-66. https://doi.org/10.1609/aaai.v37i1.25076","Abstract 					Modeling what makes an advertisement persuasive, i.e., eliciting the desired response from consumer, is critical to the study of propaganda, social psychology, and marketing. Despite its importance, computational modeling of persuasion in computer vision is still in its infancy, primarily due to the lack of benchmark datasets that can provide persuasion-strategy labels associated with ads. Motivated by persuasion literature in social psychology and marketing, we introduce an extensive vocabulary of persuasion strategies and build the first ad image corpus annotated with persuasion strategies. We then formulate the task of persuasion strategy prediction with multi-modal learning, where we design a multi-task attention fusion model that can leverage other ad-understanding tasks to predict persuasion strategies. The dataset also provides image segmentation masks, which labels persuasion strategies in the corresponding ad images on the test split. We publicly release our code and dataset at https://midas-research.github.io/persuasion-advertisements/.","https://ojs.aaai.org/index.php/AAAI/article/view/25076/24848"
"25077","Intensity-Aware Loss for Dynamic Facial Expression Recognition in the Wild","['Hanting Li', 'Hongjing Niu', 'Zhaoqing Zhu', 'Feng Zhao']","['University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China']","['CMS: Affective Computing', 'CV: Object Detection & Categorization', 'CV: Video Understanding & Activity Analysis']","Li, H., Niu, H., Zhu, Z., & Zhao, F. (2023). Intensity-Aware Loss for Dynamic Facial Expression Recognition in the Wild. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 67-75. https://doi.org/10.1609/aaai.v37i1.25077","Abstract 					Compared with the image-based static facial expression recognition (SFER) task, the dynamic facial expression recognition (DFER) task based on video sequences is closer to the natural expression recognition scene. However, DFER is often more challenging. One of the main reasons is that video sequences often contain frames with different expression intensities, especially for the facial expressions in the real-world scenarios, while the images in SFER frequently present uniform and high expression intensities. Nevertheless, if the expressions with different intensities are treated equally, the features learned by the networks will have large intra-class and small inter-class differences, which are harmful to DFER. To tackle this problem, we propose the global convolution-attention block (GCA) to rescale the channels of the feature maps. In addition, we introduce the intensity-aware loss (IAL) in the training process to help the network distinguish the samples with relatively low expression intensities. Experiments on two in-the-wild dynamic facial expression datasets (i.e., DFEW and FERV39k) indicate that our method outperforms the state-of-the-art DFER approaches. The source code will be available at https://github.com/muse1998/IAL-for-Facial-Expression-Recognition.","https://ojs.aaai.org/index.php/AAAI/article/view/25077/24849"
"25078","AVCAffe: A Large Scale Audio-Visual Dataset of Cognitive Load and Affect for Remote Work","['Pritam Sarkar', 'Aaron Posen', 'Ali Etemad']","[""Queen's Univesity, Canada\nVector Institute"", ""Queen's University, Canada"", ""Queen's University, Canada""]","['CMS: Affective Computing', 'HAI: Human-Computer Interaction']","Sarkar, P., Posen, A., & Etemad, A. (2023). AVCAffe: A Large Scale Audio-Visual Dataset of Cognitive Load and Affect for Remote Work. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 76-85. https://doi.org/10.1609/aaai.v37i1.25078","Abstract 					We introduce AVCAffe, the first Audio-Visual dataset consisting of Cognitive load and Affect attributes. We record AVCAffe by simulating remote work scenarios over a video-conferencing platform, where subjects collaborate to complete a number of cognitively engaging tasks. AVCAffe is the largest originally collected (not collected from the Internet) affective dataset in English language. We recruit 106 participants from 18 different countries of origin, spanning an age range of 18 to 57 years old, with a balanced male-female ratio. AVCAffe comprises a total of 108 hours of video, equivalent to more than 58,000 clips along with task-based self-reported ground truth labels for arousal, valence, and cognitive load attributes such as mental demand, temporal demand, effort, and a few others. We believe AVCAffe would be a challenging benchmark for the deep learning research community given the inherent difficulty of classifying affect and cognitive load in particular. Moreover, our dataset fills an existing timely gap by facilitating the creation of learning systems for better self-management of remote work meetings, and further study of hypotheses regarding the impact of remote work on cognitive load and affective states.","https://ojs.aaai.org/index.php/AAAI/article/view/25078/24850"
"25079","ESL-SNNs: An Evolutionary Structure Learning Strategy for Spiking Neural Networks","['Jiangrong Shen', 'Qi Xu', 'Jian K. Liu', 'Yueming Wang', 'Gang Pan', 'Huajin Tang']","['The College of Computer Science and Technology, Zhejiang University, China', 'School of Artificial Intelligence, Dalian University of Technology, China', 'School of Computing, University of Leeds, UK', 'The College of Computer Science and Technology, Zhejiang University, China', 'The College of Computer Science and Technology, Zhejiang University, China', 'The College of Computer Science and Technology, Zhejiang University, China\nResearch Institute of Intelligent Computing, Zhejiang Lab, China']","['CMS: Brain Modeling', 'CMS: Agent & Cognitive Architectures', 'CMS: Structural Learning and Knowledge Capture']","Shen, J., Xu, Q., Liu, J. K., Wang, Y., Pan, G., & Tang, H. (2023). ESL-SNNs: An Evolutionary Structure Learning Strategy for Spiking Neural Networks. Proceedings of the AAAI Conference on Artificial Intelligence, 37(1), 86-93. https://doi.org/10.1609/aaai.v37i1.25079","Abstract 					Spiking neural networks (SNNs) have manifested remarkable advantages in power consumption and event-driven property during the inference process. To take full advantage of low power consumption and improve the efficiency of these models further, the pruning methods have been explored to find sparse SNNs without redundancy connections after training. However, parameter redundancy still hinders the efficiency of SNNs during training. In the human brain, the rewiring process of neural networks is highly dynamic, while synaptic connections maintain relatively sparse during brain development. Inspired by this, here we propose an efficient evolutionary structure learning (ESL) framework for SNNs, named ESL-SNNs, to implement the sparse SNN training from scratch. The pruning and regeneration of synaptic connections in SNNs evolve dynamically during learning, yet keep the structural sparsity at a certain level. As a result, the ESL-SNNs can search for optimal sparse connectivity by exploring all possible parameters across time. Our experiments show that the proposed ESL-SNNs framework is able to learn SNNs with sparse structures effectively while reducing the limited accuracy. The ESL-SNNs achieve merely 0.28% accuracy loss with 10% connection density on the DVS-Cifar10 dataset. Our work presents a brand-new approach for sparse training of SNNs from scratch with biologically plausible evolutionary mechanisms, closing the gap in the expressibility between sparse training and dense training. Hence, it has great potential for SNN lightweight training and inference with low power consumption and small memory usage.","https://ojs.aaai.org/index.php/AAAI/article/view/25079/24851"
