"index","Title","Authors","Affiliations","keywords","cite_key","abstract","pdf_url"
"0001","Anytime Capacity Expansion in Medical Residency Match by Monte Carlo Tree Search","Kenshi Abe, Junpei Komiyama, Atsushi Iwasaki","","['Agent-based and Multi-agent Systems: Mechanism Design', 'Agent-based and Multi-agent Systems: Economic Paradigms, Auctions and Market-Based Systems', 'Agent-based and Multi-agent Systems: Resource Allocation', 'Search: Search and Machine Learning']","@inproceedings{ijcai2022p1,   title     = {Anytime Capacity Expansion in Medical Residency Match by Monte Carlo Tree Search},   author    = {Abe, Kenshi and Komiyama, Junpei and Iwasaki, Atsushi},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {3--9},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/1},   url       = {https://doi.org/10.24963/ijcai.2022/1}, }","This paper considers the capacity expansion problem in two-sided matchings, where the policymaker is allowed to allocate some extra seats as well as the standard seats. In medical residency match, each hospital accepts a limited number of doctors. Such capacity constraints are typically given in advance. However, such exogenous constraints can compromise the welfare of the doctors; some popular hospitals inevitably dismiss some of their favorite doctors. Meanwhile, it is often the case that the hospitals are also benefited to accept a few extra doctors. To tackle the problem, we propose an anytime method that the upper confidence tree searches the space of capacity expansions, each of which has a resident-optimal stable assignment that the deferred acceptance method finds. Constructing a good search tree representation significantly boosts the performance of the proposed method. Our simulation shows that the proposed method identifies an almost optimal capacity expansion with a significantly smaller computational budget than exact methods based on mixed-integer programming.","https://www.ijcai.org/proceedings/2022/0001.pdf"
"0002","Socially Intelligent Genetic Agents for the Emergence of Explicit Norms","Rishabh Agrawal, Nirav Ajmeri, Munindar Singh","","['Agent-based and Multi-agent Systems: Agent-Based Simulation and Emergence', 'Agent-based and Multi-agent Systems: Normative systems']","@inproceedings{ijcai2022p2,   title     = {Socially Intelligent Genetic Agents for the Emergence of Explicit Norms},   author    = {Agrawal, Rishabh and Ajmeri, Nirav and Singh, Munindar},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {10--16},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/2},   url       = {https://doi.org/10.24963/ijcai.2022/2}, }","Norms help regulate a society. Norms may be explicit (represented in structured form) or implicit. We address the emergence of explicit norms by developing agents who provide and reason about explanations for norm violations in deciding sanctions and identifying alternative norms. These agents use a genetic algorithm to produce norms and reinforcement learning to learn the values of these norms.We find that applying explanations leads to norms that provide better cohesion and goal satisfaction for the agents. Our results are stable for societies with differing attitudes of generosity.","https://www.ijcai.org/proceedings/2022/0002.pdf"
"0003","An EF2X Allocation Protocol for Restricted Additive Valuations","Hannaneh Akrami, Rojin Rezvan, Masoud Seddighin","","['Agent-based and Multi-agent Systems: Algorithmic Game Theory', 'AI Ethics, Trust, Fairness: Fairness & Diversity']","@inproceedings{ijcai2022p3,   title     = {An EF2X Allocation Protocol for Restricted Additive Valuations},   author    = {Akrami, Hannaneh and Rezvan, Rojin and Seddighin, Masoud},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {17--23},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/3},   url       = {https://doi.org/10.24963/ijcai.2022/3}, }","We study the problem of fairly allocating a set of indivisible goods to a set of n agents.  Envy-freeness up to any good (EFX) criterion (which requires that no agent prefers the bundle of another agent after the removal of any single good) is known to be a remarkable analogue of envy-freeness when the resource is a set of indivisible goods.In this paper, we investigate EFX  for restricted additive valuations, that is, every good has a non-negative value, and every agent is interested in only some of the goods.We introduce a natural relaxation of EFX called EFkX which requires that no agent envies another agent after the removal of any k goods. Our main contribution is an algorithm that finds a complete (i.e., no good is discarded) EF2X allocation for restricted additive valuations. In our algorithm we devise new concepts, namely configuration and envy-elimination that might be of independent interest. We also use our new tools to find an EFX allocation for restricted additive valuations that discards at most n/2 -1 goods.","https://www.ijcai.org/proceedings/2022/0003.pdf"
"0004","Better Collective Decisions via Uncertainty Reduction","Shiri Alouf-Heffetz, Laurent Bulteau, Edith Elkind, Nimrod Talmon, Nicholas Teh","","['Agent-based and Multi-agent Systems: Computational Social Choice']","@inproceedings{ijcai2022p4,   title     = {Better Collective Decisions via Uncertainty Reduction},   author    = {Alouf-Heffetz, Shiri and Bulteau, Laurent and Elkind, Edith and Talmon, Nimrod and Teh, Nicholas},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {24--30},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/4},   url       = {https://doi.org/10.24963/ijcai.2022/4}, }","We consider an agent community wishing to decide on several binary issues by means of issue-by-issue majority voting. For each issue and each agent, one of the two options is better than the other. However, some of the agents may be confused about some of the issues, in which case they may vote for the option that is objectively worse for them. A benevolent external party wants to help the agents to make better decisions, i.e., select the majority-preferred option for as many issues as possible. This party may have one of the following tools at its disposal: (1) educating some of the agents, so as to enable them to vote correctly on all issues, (2) appointing a subset of highly competent agents to make decisions on behalf of the entire group, or (3) guiding the agents on how to delegate their votes to other agents, in a way that is consistent with the agents' opinions. For each of these tools, we study the complexity of the decision problem faced by this external party, obtaining both NP-hardness results and fixed-parameter tractability results.","https://www.ijcai.org/proceedings/2022/0004.pdf"
"0005","How Should We Vote? A Comparison of Voting Systems within Social Networks","Shiri Alouf-Heffetz, Ben Armstrong, Kate Larson, Nimrod Talmon","","['Agent-based and Multi-agent Systems: Computational Social Choice', 'Agent-based and Multi-agent Systems: Agent-Based Simulation and Emergence']","@inproceedings{ijcai2022p5,   title     = {How Should We Vote? A Comparison of Voting Systems within Social Networks},   author    = {Alouf-Heffetz, Shiri and Armstrong, Ben and Larson, Kate and Talmon, Nimrod},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {31--38},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/5},   url       = {https://doi.org/10.24963/ijcai.2022/5}, }","Voting is a crucial methodology for eliciting and combining agents' preferences and information across many applications. Just as there are numerous voting rules exhibiting different properties, we also see many different voting systems. In this paper we investigate how different voting systems perform as a function of the characteristics of the underlying voting population and social network. In particular, we compare direct democracy, liquid democracy, and sortition in a ground truth voting context.Through simulations -- using both real and artificially generated social networks -- we illustrate how voter competency distributions and levels of direct participation affect group accuracy differently in each voting mechanism. Our results can be used to guide the selection of a suitable voting system based on the characteristics of a particular voting setting.","https://www.ijcai.org/proceedings/2022/0005.pdf"
"0006","Public Signaling in Bayesian Ad Auctions","Francesco Bacchiocchi, Matteo Castiglioni, Alberto Marchesi, Giulia Romano, Nicola Gatti","","['Agent-based and Multi-agent Systems: Economic Paradigms, Auctions and Market-Based Systems', 'Agent-based and Multi-agent Systems: Mechanism Design']","@inproceedings{ijcai2022p6,   title     = {Public Signaling in Bayesian Ad Auctions},   author    = {Bacchiocchi, Francesco and Castiglioni, Matteo and Marchesi, Alberto and Romano, Giulia and Gatti, Nicola},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {39--45},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/6},   url       = {https://doi.org/10.24963/ijcai.2022/6}, }","We study signaling in Bayesian ad auctions, in which bidders' valuations depend on a random, unknown state of nature. The auction mechanism has complete knowledge of the actual state of nature, and it can send signals to bidders so as to disclose information about the state and increase revenue. For instance, a state may collectively encode some features of the user that are known to the mechanism only, since the latter has access to data sources unaccessible to the bidders. We study the problem of computing how the mechanism should send signals to bidders in order to maximize revenue. While this problem has already been addressed in the easier setting of second-price auctions, to the best of our knowledge, our work is the first to explore ad auctions with more than one slot. In this paper, we focus on public signaling and VCG mechanisms, under which bidders truthfully report their valuations. We start with a negative result, showing that, in general, the problem does not admit a PTAS unless P = NP, even when bidders' valuations are known to the mechanism. The rest of the paper is devoted to settings in which such negative result can be circumvented. First, we prove that, with known valuations, the problem can indeed be solved in polynomial time when either the number of states d or the number of slots m is fixed. Moreover, in the same setting, we provide an FPTAS for the case in which bidders are single minded, but d and m can be arbitrary. Then, we switch to the random valuations setting, in which these are randomly drawn according to some probability distribution. In this case, we show that the problem admits an FPTAS, a PTAS, and a QPTAS, when, respectively, d is fixed, m is fixed, and bidders' valuations are bounded away from zero.","https://www.ijcai.org/proceedings/2022/0006.pdf"
"0007","Mixed Strategies for Security Games with General Defending Requirements","Rufan Bai, Haoxing Lin, Xinyu Yang, Xiaowei Wu, Minming Li, Weijia Jia","","['Agent-based and Multi-agent Systems: Algorithmic Game Theory', 'Agent-based and Multi-agent Systems: Resource Allocation', 'Constraint Satisfaction and Optimization: Constraint Optimization', 'Multidisciplinary Topics and Applications: Smart Cities']","@inproceedings{ijcai2022p7,   title     = {Mixed Strategies for Security Games with General Defending Requirements},   author    = {Bai, Rufan and Lin, Haoxing and Yang, Xinyu and Wu, Xiaowei and Li, Minming and Jia, Weijia},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {46--52},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/7},   url       = {https://doi.org/10.24963/ijcai.2022/7}, }","The Stackelberg security game is played between a defender and an attacker, where the defender needs to allocate a limited amount of resources to multiple targets in order to minimize the loss due to adversarial attack by the attacker. While allowing targets to have different values, classic settings often assume uniform requirements to defend the targets. This enables existing results that study mixed strategies (randomized allocation algorithms) to adopt a compact representation of the mixed strategies.In this work, we initiate the study of mixed strategies for the security games in which the targets can have different defending requirements. In contrast to the case of uniform defending requirement, for which an optimal mixed strategy can be computed efficiently, we show that computing the optimal mixed strategy is NP-hard for the general defending requirements setting. However, we show that strong upper and lower bounds for the optimal mixed strategy defending result can be derived. We propose an efficient close-to-optimal Patching algorithm that computes mixed strategies that use only few pure strategies. We also study the setting when the game is played on a network and resource sharing is enabled between neighboring targets. Our experimental results demonstrate the effectiveness of our algorithm in several large real-world datasets.","https://www.ijcai.org/proceedings/2022/0007.pdf"
"0008","Envy-Free and Pareto-Optimal Allocations for Agents with Asymmetric Random Valuations","Yushi Bai, Paul Gölz","","['Agent-based and Multi-agent Systems: Resource Allocation', 'Agent-based and Multi-agent Systems: Computational Social Choice']","@inproceedings{ijcai2022p8,   title     = {Envy-Free and Pareto-Optimal Allocations for Agents with Asymmetric Random Valuations},   author    = {Bai, Yushi and Gölz, Paul},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {53--59},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/8},   url       = {https://doi.org/10.24963/ijcai.2022/8}, }","We study the problem of allocating m indivisible items to n agents with additive utilities. It is desirable for the allocation to be both fair and efficient, which we formalize through the notions of envy-freeness and Pareto-optimality. While envy-free and Pareto-optimal allocations may not exist for arbitrary utility profiles, previous work has shown that such allocations exist with high probability assuming that all agents’ values for all items are independently drawn from a common distribution. In this paper, we consider a generalization of this model where each agent’s utilities are drawn independently from a distribution specific to the agent. We show that envy-free and Pareto-optimal allocations are likely to exist in this asymmetric model when m=Ω(n log n), which is tight up to a log log gap that also remains open in the symmetric subsetting. Furthermore, these guarantees can be achieved by a polynomial-time algorithm.","https://www.ijcai.org/proceedings/2022/0008.pdf"
"0009","Achieving Envy-Freeness with Limited Subsidies under Dichotomous Valuations","Siddharth Barman, Anand Krishna, Yadati Narahari, Soumyarup Sadhukhan","","['Agent-based and Multi-agent Systems: Computational Social Choice', 'Agent-based and Multi-agent Systems: Algorithmic Game Theory']","@inproceedings{ijcai2022p9,   title     = {Achieving Envy-Freeness with Limited Subsidies under Dichotomous Valuations},   author    = {Barman, Siddharth and Krishna, Anand and Narahari, Yadati and Sadhukhan, Soumyarup},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {60--66},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/9},   url       = {https://doi.org/10.24963/ijcai.2022/9}, }","We study the problem of allocating indivisible goods among agents in a fair manner. While envy-free allocations of indivisible goods are not guaranteed to exist, envy-freeness can be achieved by additionally providing some subsidy to the agents. These subsidies can be alternatively viewed as a divisible good (money) that is fractionally assigned among the agents to realize an envy-free outcome. In this setup, we bound the subsidy required to attain envy-freeness among agents with dichotomous valuations, i.e., among agents whose marginal value for any good is either zero or one.  We prove that, under dichotomous valuations, there exists an allocation that achieves envy-freeness with a per-agent subsidy of either 0 or 1. Furthermore, such an envy-free solution can be computed efficiently in the standard value-oracle model. Notably, our results hold for general dichotomous valuations and, in particular, do not require the (dichotomous) valuations to be additive, submodular, or even subadditive. Also, our subsidy bounds are tight and provide a linear (in the number of agents) factor improvement over the bounds known for general monotone valuations.","https://www.ijcai.org/proceedings/2022/0009.pdf"
"0010","Transparency, Detection and Imitation in Strategic Classification","Flavia Barsotti, Ruya Gokhan Kocer, Fernando P. Santos","","['Agent-based and Multi-agent Systems: Agent-Based Simulation and Emergence', 'AI Ethics, Trust, Fairness: Ethical, Legal and Societal Issues', 'Multidisciplinary Topics and Applications: Finance']","@inproceedings{ijcai2022p10,   title     = {Transparency, Detection and Imitation in Strategic Classification},   author    = {Barsotti, Flavia and Kocer, Ruya Gokhan and Santos, Fernando P.},   booktitle = {Proceedings of the Thirty-First International Joint Conference on                Artificial Intelligence, {IJCAI-22}},   publisher = {International Joint Conferences on Artificial Intelligence Organization},   editor    = {Lud De Raedt},   pages     = {67--73},   year      = {2022},   month     = {7},   note      = {Main Track},   doi       = {10.24963/ijcai.2022/10},   url       = {https://doi.org/10.24963/ijcai.2022/10}, }","Given the ubiquity of AI-based decisions that affect individuals’ lives, providing transparent explanations about algorithms is ethically sound and often legally mandatory. How do individuals strategically adapt following explanations? What are the consequences of adaptation for algorithmic accuracy? We simulate the interplay between explanations shared by an Institution (e.g. a bank) and the dynamics of strategic adaptation by Individuals reacting to such feedback. Our model identifies key aspects related to strategic adaptation and the challenges that an institution could face as it attempts to provide explanations. Resorting to an agent-based approach, our model scrutinizes: i) the impact of transparency in explanations, ii) the interaction between faking behavior and detection capacity and iii) the role of behavior imitation. We find that the risks of transparent explanations are alleviated if effective methods to detect faking behaviors are in place. Furthermore, we observe that behavioral imitation --- as often happens across societies --- can alleviate malicious adaptation and contribute to accuracy, even after transparent explanations.","https://www.ijcai.org/proceedings/2022/0010.pdf"
