eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85141235454,10.1609/aaai.v36i11.21470,,,'Beach' to 'Bitch': Inadvertent Unsafe Transcription of Kids' Content on YouTube,cp,Conference Paper,Ramesh K.,60001777;60028079;60104532,Rochester Institute of Technology;Manipal Institute of Technology;Indian School of Business,Rochester;Manipal;Hyderabad,United States;India;India,3.0,"Ramesh, Krithika;Khudabukhsh, Ashiqur R.;Kumar, Sumeet",57213197420;36835705200;57213855653,60028079;60001777;60104532,2022-06-30,30 June 2022,Proceedings of the 36th Aaai Conference on Artificial Intelligence Aaai 2022,,21101133594.0,,Conference Proceeding,36,,,12108-12118,"Over the last few years, YouTube Kids has emerged as one of the highly competitive alternatives to television for children's entertainment. Consequently, YouTube Kids' content should receive an additional level of scrutiny to ensure children's safety. While research on detecting offensive or inappropriate content for kids is gaining momentum, little or no current work exists that investigates to what extent AI applications can (accidentally) introduce content that is inappropriate for kids. In this paper, we present a novel (and troubling) finding that well-known automatic speech recognition (ASR) systems may produce text content highly inappropriate for kids while transcribing YouTube Kids' videos. We dub this phenomenon as inappropriate content hallucination. Our analyses suggest that such hallucinations are far from occasional, and the ASR systems often produce them with high confidence. We release a first-of-its-kind data set of audios for which the existing state-of-the-art ASR systems hallucinate inappropriate content for kids. In addition, we demonstrate that some of these errors can be fixed using language models.",,10,1.0,all publisherfullgold,All Open Access Gold,ISB,,International Society of Biomechanics
2-s2.0-85163187687,,,,3DB: A Framework for Debugging Computer Vision Models,cp,Conference Paper,Leclerc G.,60022195;60021726,Massachusetts Institute of Technology;Microsoft Research,Cambridge;Redmond,United States;United States,12.0,"Leclerc, Guillaume;Salman, Hadi;Ilyas, Andrew;Vemprala, Sai;Engstrom, Logan;Vineet, Vibhav;Xiao, Kai;Zhang, Pengchuan;Santurkar, Shibani;Yang, Greg;Kapoor, Ashish;Mądry, Aleksander",56853237600;57218718431;57204781168;56732900600;57204801909;24825459900;57210636103;57193832213;56841541500;57200558199;36856640700;24171757000,60022195;60022195;60022195;60021726;60022195;60021726;60022195;60021726;60022195;60021726;60021726;60022195,2022-01-01,2022,Advances in Neural Information Processing Systems,10495258.0,23669.0,,Conference Proceeding,35,,,,"We introduce 3DB: an extendable, unified framework for testing and debugging vision models using photorealistic simulation. We demonstrate, through a wide range of use cases, that 3DB allows users to discover vulnerabilities in computer vision systems and gain insights into how models make decisions. 3DB captures and generalizes many robustness analyses from prior work, and enables one to study their interplay. Finally, we find that the insights generated by the system transfer to the physical world. We are releasing 3DB as a library alongside a set of examples, guides, and documentation.",,9,0.0,,,NSF,FA8750-19-2-1000,National Science Foundation
2-s2.0-85195298105,,,,A Bayesian Bradley-Terry model to compare multiple ML algorithms on multiple data sets,ar,Article,Wainer J.,60029570,Universidade Estadual de Campinas,Campinas,Brazil,1.0,"Wainer, Jacques",7004361186,60029570,2023-01-01,2023,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,24,,,,"This paper presents a Bayesian model, called the Bayesian Bradley Terry (BBT) model, for comparing multiple algorithms on multiple data sets based on any metric. The model is an extension of the Bradley Terry model, which tracks the number of wins each algorithm has on different data sets. Unlike frequentist methods such as Demsar tests on mean rank or multiple pairwise Wilcoxon tests, the Bayesian approach provides a more nuanced understanding of the algorithms’ performance and allows for the definition of the “region of practical equivalence” (ROPE) for two algorithms. Additionally, the paper introduces the concept of “local ROPE,” which assesses the significance of the difference in mean measure between two algorithms using effect sizes, and can be applied in frequentist approaches as well. Both an R package and a Python program implementing the BBT are available for use.",Bayesian | Bradley-Terry model | Comparison of classifiers | Comparison of regressors | Multiple algorithms | Multiple data sets,4,0.0,,,,,
2-s2.0-85140356073,,,,A CONDITIONAL POINT DIFFUSION-REFINEMENT PARADIGM FOR 3D POINT CLOUD COMPLETION,cp,Conference Paper,Lyu Z.,60030612;60005510;60002798;60280914,"University of California, San Diego;Nanyang Technological University;Chinese University of Hong Kong;Shanghai Artificial Intelligence Laboratory",La Jolla;Singapore City;Hong Kong;Shanghai,United States;Singapore;Hong Kong;China,5.0,"Lyu, Zhaoyang;Kong, Zhifeng;Xu, Xudong;Pan, Liang;Lin, Dahua",57215304257;57219524596;57215771538;57217199511;8662530900,60002798-60280914;60030612;60002798;60005510;60002798-60280914,2022-01-01,2022,Iclr 2022 10th International Conference on Learning Representations,,21101141642.0,,Conference Proceeding,,,,,"3D point cloud is an important 3D representation for capturing real world 3D objects. However, real-scanned 3D point clouds are often incomplete, and it is important to recover complete point clouds for downstream applications. Most existing point cloud completion methods use Chamfer Distance (CD) loss for training. The CD loss estimates correspondences between two point clouds by searching nearest neighbors, which does not capture the overall point density distribution on the generated shape, and therefore likely leads to non-uniform point cloud generation. To tackle this problem, we propose a novel Point Diffusion-Refinement (PDR) paradigm for point cloud completion. PDR consists of a Conditional Generation Network (CGNet) and a ReFinement Network (RFNet). The CGNet uses a conditional generative model called the denoising diffusion probabilistic model (DDPM) to generate a coarse completion conditioned on the partial observation. DDPM establishes a one-to-one pointwise mapping between the generated point cloud and the uniform ground truth, and then optimizes the mean squared error loss to realize uniform generation. The RFNet refines the coarse output of the CGNet and further improves quality of the completed point cloud. Furthermore, we develop a novel dual-path architecture for both networks. The architecture can (1) effectively and efficiently extract multi-level features from partially observed point clouds to guide completion, and (2) accurately manipulate spatial locations of 3D points to obtain smooth surfaces and sharp details. Extensive experimental results on various benchmark datasets show that our PDR paradigm outperforms previous state-of-the-art methods for point cloud completion. Remarkably, with the help of the RFNet, we can accelerate the iterative generation process of the DDPM by up to 50 times without much performance drop.",,46,0.0,,,CUHK,14205719,Chinese University of Hong Kong
2-s2.0-105018672015,,,,A Comparison of Continuous-Time Approximations to Stochastic Gradient Descent,ar,Article,Ankirchner S.,60029507,Friedrich-Schiller-Universität Jena,Jena,Germany,2.0,"Ankirchner, Stefan;Perko, Stefan",8330011500;58779230000,60029507;60029507,2024-01-01,2024,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,25,,,,"Applying a stochastic gradient descent (SGD) method for minimizing an objective gives rise to a discrete-time process of estimated parameter values. In order to better understand the dynamics of the estimated values, many authors have considered continuous-time approximations of SGD. We refine existing results on the weak error of first-order ODE and SDE approximations to SGD for non-infinitesimal learning rates. In particular, we explicitly compute the linear term in the error expansion of gradient flow and two of its stochastic counterparts, with respect to a discretization parameter h. In the example of linear regression, we demonstrate the general inferiority of the deterministic gradient flow approximation in comparison to the stochastic ones, for batch sizes which are not too large. Further, we demonstrate that for Gaussian features an SDE approximation with state-independent noise (CC) is preferred over using a state-dependent coefficient (NCC). The same comparison holds true for features of low kurtosis or large batch sizes. However, the relationship reverses for highly leptokurtic features or small batch sizes.",gradient flow | stochastic differential equation | stochastic gradient descent | Talay-Tubaro expansion | weak approximation,4,0.0,,,,,
2-s2.0-85189355818,10.1609/aaai.v38i9.28926,,,A Compiler for Weak Decomposable Negation Normal Form,cp,Conference Paper,Illner P.,60016605,Charles University,Prague,Czech Republic,2.0,"Illner, Petr;Kučera, Petr",58968477600;56398611900,60016605;60016605,2024-03-25,25 March 2024,Proceedings of the Aaai Conference on Artificial Intelligence,21595399.0,21101185504.0,23743468.0,Conference Proceeding,38,9.0,,10562-10570,"This paper integrates weak decomposable negation normal form (wDNNF) circuits, introduced by Akshay et al. in 2018, into the knowledge compilation map. This circuit type generalises decomposable negation normal form (DNNF) circuits in such a way that they allow a restricted form of sharing variables among the inputs of a conjunction node. We show that wDNNF circuits have the same properties as DNNF circuits regarding the queries and transformations presented in the knowledge compilation map, whilst being strictly more succinct than DNNF circuits (that is, they can represent Boolean functions compactly). We also present and evaluate a knowledge compiler, called Bella, for converting CNF formulae into wDNNF circuits. Our experiments demonstrate that wDNNF circuits are suitable for configuration instances.",,1,1.0,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85204296808,,,,A Conflict-Embedded Narrative Generation Using Commonsense Reasoning,cp,Conference Paper,Song Y.,60007511;60017776;129472283;131699639,Sungkyunkwan University;Hongik University;NAVER Cloud;NCSoft,Seoul;Seoul;St Cloud;,South Korea;South Korea;United States;,6.0,"Song, Youngrok;Cho, Gunhee;Kim, Hyun Ju;Kim, Youngjune;Bae, Byung Chull;Cheong, Yun Gyung",57203138971;59332875000;57216710793;57388649400;25960703000;15055378700,60007511;60007511;129472283;131699639;60017776;60007511,2024-01-01,2024,Ijcai International Joint Conference on Artificial Intelligence,10450823.0,19400157504.0,,Conference Proceeding,,,,7744-7752,"Conflict is a critical element in the narrative, inciting dramatic tension. This paper introduces CNGCI (Conflict-driven Narrative Generation through Commonsense Inference), a neuro-symbolic framework designed to generate coherent stories embedded with conflict using commonsense inference. Our framework defines narrative conflict by leveraging the concept of a soft causal threat, where conflict serves as an obstacle that reduces the likelihood of achieving the protagonist's goal by weakening the causal link between context and goal through defeasible inference. Comparative studies against multiple story generation baselines utilizing commonsense reasoning show that our framework outperforms the baselines in creating narratives that distinctly embody conflict while maintaining coherency.",,1,0.0,,,NRF,,National Research Foundation of Korea
2-s2.0-85168235896,10.1609/aaai.v37i7.26017,,,A Data Source for Reasoning Embodied Agents,cp,Conference Paper,Lanchantin J.,60355330,Meta Ai,Menlo Park,United States,6.0,"Lanchantin, Jack;Sukhbaatar, Sainbayar;Synnaeve, Gabriel;Sun, Yuxuan;Srinet, Kavya;Szlam, Arthur",57191491253;55669357500;36987111200;57219469776;57192113924;11539079600,60355330;60355330;60355330;60355330;60355330;60355330,2023-06-27,27 June 2023,Proceedings of the 37th Aaai Conference on Artificial Intelligence Aaai 2023,,21101170618.0,,Conference Proceeding,37,,,8438-8446,"Recent progress in using machine learning models for reasoning tasks has been driven by novel model architectures, large-scale pre-training protocols, and dedicated reasoning datasets for fine-tuning. In this work, to further pursue these advances, we introduce a new data generator for machine reasoning that integrates with an embodied agent. The generated data consists of templated text queries and answers, matched with world-states encoded into a database. The world-states are a result of both world dynamics and the actions of the agent. We show the results of several baseline models on instantiations of train sets. These include pre-trained language models fine-tuned on a text-formatted representation of the database, and graph-structured Transformers operating on a knowledge-graph representation of the database. We find that these models can answer some questions about the world-state, but struggle with others. These results hint at new research directions in designing neural reasoning models and database representations. Code to generate the data and train the models will be released at github.com/facebookresearch/neuralmemory.",,7,1.0,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85180933541,10.1613/JAIR.1.14388,,,"A General Model for Aggregating Annotations Across Simple, Complex, and Multi-Object Annotation Tasks",ar,Article,Braylan A.,60013372;60076757;60150459;60116471,"The University of Texas at Austin;Amazon.com, Inc.;Department of Computer Science;McCombs School of Business",Austin;Seattle;Austin;Austin,United States;United States;United States;United States,4.0,"Braylan, Alexander;Marabella, Madalyn;Alonso, Omar;Lease, Matthew",57188996898;58786951500;23011639800;13005498000,60150459;60116471;60076757;60013372,2023-01-01,2023,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,78,,,901-973,"Human annotations are vital to supervised learning, yet annotators often disagree on the correct label, especially as annotation tasks increase in complexity. A common strategy to improve label quality is to ask multiple annotators to label the same item and then aggregate their labels. To date, many aggregation models have been proposed for simple categorical or numerical annotation tasks, but far less work has considered more complex annotation tasks, such as those involving open-ended, multivariate, or structured responses. Similarly, while a variety of bespoke models have been proposed for specific tasks, our work is the first we are aware of to introduce aggregation methods that generalize across many, diverse complex tasks, including sequence labeling, translation, syntactic parsing, ranking, bounding boxes, and keypoints. This generality is achieved by applying readily available task-specific distance functions, then devising a task-agnostic method to model these distances between labels, rather than the labels themselves. This article presents a unified treatment of our prior work on complex annotation modeling and extends that work with investigation of three new research questions. First, how do complex annotation task and dataset properties impact aggregation accuracy? Second, how should a task owner navigate the many modeling choices in order to maximize aggregation accuracy? Finally, what tests and diagnoses can verify that aggregation models are specified correctly for the given data? To understand how various factors impact accuracy and to inform model selection, we conduct large-scale simulation studies and broad experiments on real, complex datasets. Regarding testing, we introduce the concept of unit tests for aggregation models and present a suite of such tests to ensure that a given model is not mis-specified and exhibits expected behavior. Beyond investigating these research questions above, we discuss the foundational concept and nature of annotation complexity, present a new aggregation model as a conceptual bridge between traditional models and our own, and contribute a new general semi-supervised learning method for complex label aggregation that outperforms prior work.",,3,1.0,all publisherfullgold repository repositoryam,All Open Access Gold Green,NSF,1253413,National Science Foundation
2-s2.0-85189298576,10.1609/aaai.v38i9.28937,,,A General Theoretical Framework for Learning Smallest Interpretable Models,cp,Conference Paper,Ordyniak S.,60012070;60018163,University of Leeds;TU Wien,Leeds;Vienna,United Kingdom;Austria,4.0,"Ordyniak, Sebastian;Paesani, Giacomo;Rychlicki, Mateusz;Szeider, Stefan",25960321900;57203852339;57701660300;6602786002,60012070;60012070;60012070;60018163,2024-03-25,25 March 2024,Proceedings of the Aaai Conference on Artificial Intelligence,21595399.0,21101185504.0,23743468.0,Conference Proceeding,38,9.0,,10662-10669,"We develop a general algorithmic framework that allows us to obtain fixed-parameter tractability for computing smallest symbolic models that represent given data. Our framework applies to all ML model types that admit a certain extension property. By establishing this extension property for decision trees, decision sets, decision lists, and binary decision diagrams, we obtain that minimizing these fundamental model types is fixed-parameter tractable. Our framework even applies to ensembles, which combine individual models by majority decision.",,4,1.0,all publisherfullgold,All Open Access Gold,,,
