source,year,title,authors,keywords,index,pdf_path,awards,theoretical,implementation_url,public_datasets,total_datasets,Implementation,Data,Configuration,Experimental Procedure,Expertise
AAAI,2022,From Good to Best: Two-Stage Training for Cross-Lingual Machine Reading Comprehension,"Nuo Chen, Linjun Shou, Ming Gong, Jian Pei",Speech & Natural Language Processing (SNLP),21293,AAAI/2022/Proceedings/21293 - From Good to Best: Two-Stage Training for Cross-Lingual Machine Reading Comprehension.pdf,,False,False,2,2,7,3,4,2,4
AAAI,2022,Gradient Flow in Sparse Neural Networks and How Lottery Tickets Win,"Utku Evci, Yani Ioannou, Cem Keskin, Yann Dauphin",Machine Learning (ML),20611,AAAI/2022/Proceedings/20611 - Gradient Flow in Sparse Neural Networks and How Lottery Tickets Win.pdf,,False,True,3,3,1,2,3,2,6
AAAI,2022,Shaping Noise for Robust Attributions in Neural Stochastic Differential Equations,"Sumit Kumar Jha, Rickard Ewetz, Alvaro Velasquez, Arvind Ramanathan, Susmit Jha",Philosophy And Ethics Of AI (PEAI),21190,AAAI/2022/Proceedings/21190 - Shaping Noise for Robust Attributions in Neural Stochastic Differential Equations.pdf,,False,False,1,1,9,5,6,4,7
AAAI,2022,Truthful and Fair Mechanisms for Matroid-Rank Valuations,"Siddharth Barman, Paritosh Verma",Game Theory And Economic Paradigms (GTEP),20407,AAAI/2022/Proceedings/20407 - Truthful and Fair Mechanisms for Matroid-Rank Valuations.pdf,,True,False,0,0,1,1,1,1,7
AAAI,2022,Assessing a Single Image in Reference-Guided Image Synthesis,"Jiayi Guo, Chaoqun Du, Jiangshan Wang, Huijuan Huang, Pengfei Wan, Gao Huang",Computer Vision (CV),19956,AAAI/2022/Proceedings/19956 - Assessing a Single Image in Reference-Guided Image Synthesis.pdf,,False,False,5,5,8,4,3,2,3
AAAI,2022,Joint Human Pose Estimation and Instance Segmentation with PosePlusSeg,"Niaz Ahmad, Jawad Khan, Jeremy Yuhyun Kim, Youngmoon Lee","Computer Vision (CV), Machine Learning (ML), Intelligent Robotics (ROB), Humans And AI (HAI)",19880,AAAI/2022/Proceedings/19880 - Joint Human Pose Estimation and Instance Segmentation with PosePlusSeg.pdf,,False,True,1,1,2,2,3,3,5
AAAI,2022,Online Certification of Preference-Based Fairness for Personalized Recommender Systems,"Virginie Do, Sam Corbett-Davies, Jamal Atif, Nicolas Usunier",Machine Learning (ML),733,AAAI/2022/Proceedings/733 - Online Certification of Preference-Based Fairness for Personalized Recommender Systems.pdf,Outstanding Paper Award,False,False,2,2,7,3,4,3,5
AAAI,2022,Better Parameter-Free Stochastic Optimization with ODE Updates for Coin-Betting,"Keyi Chen, John Langford, Francesco Orabona",Machine Learning (ML),20573,AAAI/2022/Proceedings/20573 - Better Parameter-Free Stochastic Optimization with ODE Updates for Coin-Betting.pdf,,False,False,22,22,10,8,5,2,4
AAAI,2022,ELMA: Energy-Based Learning for Multi-Agent Activity Forecasting,"Yuke Li, Pin Wang, Lixiong Chen, Zheng Wang, Ching-Yao Chan",Computer Vision (CV),20038,AAAI/2022/Proceedings/20038 - ELMA: Energy-Based Learning for Multi-Agent Activity Forecasting.pdf,,False,False,2,2,9,2,5,1,5
AAAI,2022,The Semi-random Likelihood of Doctrinal Paradoxes,"Ao Liu, Lirong Xia",Game Theory And Economic Paradigms (GTEP),20446,AAAI/2022/Proceedings/20446 - The Semi-random Likelihood of Doctrinal Paradoxes.pdf,,False,False,0,0,5,3,1,1,7
AAAI,2022,DANets: Deep Abstract Networks for Tabular Data Classification and Regression,"Jintai Chen, Kuanlun Liao, Yao Wan, Danny Z. Chen, Jian Wu",Data Mining & Knowledge Management (DMKM),20309,AAAI/2022/Proceedings/20309 - DANets: Deep Abstract Networks for Tabular Data Classification and Regression.pdf,,False,True,7,7,1,1,1,3,3
AAAI,2022,Generalizable Person Re-identification via Self-Supervised Batch Norm Test-Time Adaption,"Ke Han, Chenyang Si, Yan Huang, Liang Wang, Tieniu Tan","Computer Vision (CV), Machine Learning (ML)",19963,AAAI/2022/Proceedings/19963 - Generalizable Person Re-identification via Self-Supervised Batch Norm Test-Time Adaption.pdf,,False,False,5,5,8,2,3,1,6
AAAI,2022,SimIPU: Simple 2D Image and 3D Point Cloud Unsupervised Pre-training for Spatial-Aware Visual Representations,"Zhenyu Li, Zehui Chen, Ang Li, Liangji Fang, Qinhong Jiang, Xianming Liu, Junjun Jiang, Bolei Zhou, Hang Zhao",Computer Vision (CV),20040,AAAI/2022/Proceedings/20040 - SimIPU: Simple 2D Image and 3D Point Cloud Unsupervised Pre-training for Spatial-Aware Visual Representations.pdf,,False,False,2,2,10,3,9,4,5
AAAI,2022,FedSoft: Soft Clustered Federated Learning with Proximal Local Updating,"Yichen Ruan, Carlee Joe-Wong",Machine Learning (ML),20785,AAAI/2022/Proceedings/20785 - FedSoft: Soft Clustered Federated Learning with Proximal Local Updating.pdf,,False,False,3,3,10,2,3,2,6
AAAI,2022,InsCLR: Improving Instance Retrieval with Self-Supervision,"Zelu Deng, Yujie Zhong, Sheng Guo, Weilin Huang",Computer Vision (CV),19930,AAAI/2022/Proceedings/19930 - InsCLR: Improving Instance Retrieval with Self-Supervision.pdf,,False,True,5,5,1,2,4,3,5
